y_true,y_pred
1.9084626,1.802411
2.4106185,2.2987208
2.1621163,2.1465678
2.208544,2.1169243
3.308633,3.4879541
3.3213782,3.4039972
1.9126167,1.9406261
2.1483045,2.1436143
1.5528886,1.5585816
1.352775,1.3833451
2.3297756,2.3328037
1.8416798,1.8254356
1.6983515,1.7119119
1.8937842,1.9791858
2.2656288,2.2600796
4.75356,4.83154
1.8472983,1.8155509
1.3766334,1.3772794
3.4042752,3.4886708
1.8516165,1.8729421
2.2081635,2.2085412
1.6729215,1.667493
1.634197,1.6184835
3.191708,3.0904431
2.678956,2.8056815
2.1835685,2.241689
1.7324731,1.6999071
2.2534742,2.2221198
9.523672,10.192929
3.2975135,3.1116028
1.8323021,1.8803301
5.591005,7.6554832
2.245171,2.2395415
1.5562477,1.5236821
2.6848607,2.6852558
1.895912,1.6748513
1.5303594,1.5488389
2.2472763,2.257664
1.6325848,1.6476824
2.281593,2.2978582
1.5979689,1.609611
2.9060283,3.0358539
2.2226648,2.221589
2.119057,2.215351
1.8450389,1.8539398
3.4808524,3.3373916
2.3252764,2.2824786
4.128559,4.1470723
3.1355329,3.1249943
1.5291569,1.5140134
1.9534816,1.9368545
1.5531524,1.576298
1.4123836,1.4269611
1.5699257,1.5507857
1.8871223,1.941198
1.9121518,1.8923602
2.5292475,2.565897
1.6323757,1.7042153
3.025809,2.994053
2.2686155,2.2032046
1.6343194,1.6697608
1.7919168,1.7930734
1.7720985,1.6475084
1.5683324,1.5964625
1.6509377,1.6529992
2.8662233,2.985066
2.4124181,2.3459504
1.7333487,1.639519
2.4353266,2.3170385
1.857813,1.8928926
1.9103274,1.9035692
1.9364736,2.0408669
1.7242701,1.6519345
1.4869639,1.520155
2.1029284,2.1387148
1.4929836,1.5068867
1.8585473,1.8629988
2.3448336,2.523459
2.0857985,2.04056
3.371943,3.524351
1.671144,1.6896366
2.7391465,2.71206
1.3955944,1.4211257
2.1129403,2.1409597
1.653511,1.6926134
1.808266,1.8262624
1.647787,1.6624765
1.9212978,1.92368
1.8581454,1.8577588
1.9296057,1.8794718
1.6679189,1.6781777
1.5898888,1.6152809
1.4842224,1.5056148
2.3182502,2.33393
1.7510793,1.7653936
3.2293963,3.0746067
1.9336021,1.9521744
2.1256478,2.176313
1.6099689,1.561142
1.8639992,1.8964982
1.9121051,1.9103577
1.6066529,1.6323067
2.3464892,2.3354995
1.8739077,1.8761024
2.6105554,2.5803125
2.1747918,2.2002258
2.192427,2.2125425
